r	 fullpivoting	 partialpivoting	 mimicrypivoting
74.0	2.9764235215912543e-8	5.7227752683115973e-8	4.506529306928908e-8
75.0	3.119956123547149e-8	5.38137096298079e-8	3.891718254178491e-8
76.0	3.106917794336472e-8	3.181268241887231e-8	3.6247226344256854e-8
77.0	2.558198359288574e-8	2.8303477577019343e-8	3.1027140119133274e-8
78.0	2.0255666308744345e-8	2.7047918053263733e-8	2.9349300230922536e-8
79.0	1.7835236452987357e-8	2.82011522919663e-8	2.6657034561427797e-8
80.0	1.5838435518252717e-8	2.51378758010799e-8	2.0679814359477918e-8
81.0	1.6296331150512476e-8	1.984503853257408e-8	1.6212969866230973e-8
82.0	1.391199713211486e-8	2.0731116220296725e-8	1.4624725240151647e-8
83.0	1.0394597841428054e-8	1.2087815225041844e-8	1.525818103246281e-8
84.0	8.752958147953557e-9	1.0200794804606636e-8	1.225076356933598e-8
85.0	6.3896646337660894e-9	8.93871259275286e-9	1.2364596778014553e-8
86.0	6.225276265048904e-9	8.966022637853464e-9	9.632885584638188e-9
87.0	5.989068192091931e-9	6.5931923962605125e-9	1.0794064360714137e-8
88.0	4.355160755644359e-9	6.2569903816304515e-9	8.871803654088495e-9
89.0	3.818572592710213e-9	4.949362006206056e-9	9.330760794264057e-9
90.0	3.59289182934411e-9	4.2762539243368576e-9	7.888631107070591e-9
91.0	3.5525256674070087e-9	4.1616953520928695e-9	5.06505566029836e-9
92.0	2.9788488680805857e-9	3.8612427571654804e-9	4.14605977898566e-9
93.0	2.6192169679294217e-9	4.3022739632259e-9	3.7314176029528706e-9
94.0	2.282195272900445e-9	3.2061007437452984e-9	3.6919253329676186e-9
95.0	2.097110581632414e-9	3.1753821537878727e-9	4.109001552896243e-9
96.0	1.8678275075992593e-9	2.825502449101381e-9	3.284003575111103e-9
97.0	1.6898016901256545e-9	2.752984295167764e-9	2.3880764891535607e-9
98.0	1.6022062523206083e-9	2.380328204742861e-9	2.4389927499355135e-9
99.0	1.5416970519487904e-9	2.309550088156906e-9	1.950412634908721e-9
100.0	1.467695402059227e-9	1.921931270007539e-9	1.9913123369015087e-9
101.0	1.1567525312890579e-9	1.500839924231779e-9	1.8905990668186674e-9
102.0	1.1536695561157686e-9	1.5704730666070723e-9	2.1261810546286245e-9
103.0	1.0368377821952523e-9	1.658513898899927e-9	2.0506705107527454e-9
104.0	9.17070841998629e-10	1.5614407087373237e-9	1.768500094287141e-9
105.0	8.145701964947569e-10	1.2064226721778116e-9	1.5825835054549493e-9
106.0	7.496964545521162e-10	1.1178928502854801e-9	1.5990971075070124e-9
107.0	6.365274530804152e-10	1.0733014328858625e-9	1.2395924403127214e-9
108.0	6.144504595050625e-10	8.676975982810341e-10	1.3423913376501806e-9
109.0	6.135132208499862e-10	8.657261931811805e-10	1.2870776216844872e-9
110.0	5.439226399304745e-10	6.429062986045948e-10	1.084968513828695e-9
111.0	4.977395876450287e-10	6.908408156315211e-10	1.031554886915791e-9
112.0	4.5336651374289763e-10	6.73362418474089e-10	8.057682094620595e-10
113.0	3.436194637131307e-10	4.710130870355265e-10	5.094450992216705e-10
114.0	3.201826316705749e-10	4.215000912257345e-10	5.072496266198653e-10
115.0	2.860811864412858e-10	4.030439856844792e-10	5.246938953629029e-10
116.0	2.502637290472116e-10	4.0132394698488984e-10	4.760247703440078e-10
117.0	2.4135701179310723e-10	3.8472177135818974e-10	3.95253736573569e-10
118.0	2.1589763928498462e-10	3.6393662157046e-10	3.640514499432413e-10
119.0	1.9417414015925832e-10	2.526744123684856e-10	3.2719491654444067e-10
120.0	1.574010220812712e-10	2.3385452567063014e-10	2.858159460629514e-10
121.0	1.395662513532903e-10	1.7294769743428e-10	2.2174120963710986e-10
122.0	1.278143952890069e-10	1.6951242696365283e-10	1.800923213989343e-10
123.0	1.1838160501385863e-10	1.3590634266413765e-10	1.963762111486628e-10
124.0	9.46464718128909e-11	1.472777853335893e-10	1.8146312185690072e-10
125.0	7.95621551395173e-11	1.1909206673692892e-10	1.0839609762718364e-10
126.0	6.655443629007916e-11	1.0348105626411699e-10	1.0286885362432119e-10
127.0	6.400423586830747e-11	8.998705852197124e-11	1.0311725588713527e-10
128.0	6.285959295805784e-11	9.407823913442858e-11	1.1283642086929231e-10
129.0	5.538209654150928e-11	8.201798002509516e-11	1.059132219730507e-10
130.0	4.2812726290897594e-11	8.726733264183419e-11	1.0332663740760495e-10
131.0	3.685299709688473e-11	5.784952776590292e-11	8.718330118996693e-11
132.0	3.314311498028455e-11	6.016701783711348e-11	7.129755138954337e-11
133.0	3.233129945566432e-11	6.093765402280727e-11	5.62565952728028e-11
134.0	2.725024324129973e-11	4.810167964415359e-11	5.181104421384937e-11
135.0	2.3776030546566146e-11	4.3383529199911296e-11	4.192096139362551e-11
136.0	2.325347289955561e-11	4.15696331865499e-11	3.512138772349114e-11
137.0	2.1765769363936018e-11	3.6256328408102415e-11	4.134166145911993e-11
138.0	1.8396012477735088e-11	3.380900479388661e-11	3.395092043259996e-11
139.0	1.704240983965049e-11	3.281321328493454e-11	2.4714688408982302e-11
140.0	1.739400102377345e-11	3.7514814424735e-11	2.0199682258264204e-11
141.0	1.681215683470459e-11	2.5164823143992786e-11	1.884879345912765e-11
142.0	1.2971811655001033e-11	2.2265689319617723e-11	2.1834895588439546e-11
143.0	1.1854492570128347e-11	1.9836998156689785e-11	1.6121155002100628e-11
144.0	1.177835099605211e-11	1.7047565856937422e-11	1.658840997392181e-11
145.0	9.943494940771965e-12	1.3455544371456199e-11	1.456501419811508e-11
146.0	7.341635188699914e-12	1.2075387051712836e-11	1.216456532918982e-11
147.0	6.292331077562297e-12	1.0480712441868062e-11	1.0555300631607301e-11
148.0	6.39506973042617e-12	8.437441992225117e-12	9.054568754332775e-12
149.0	5.615876868480257e-12	8.282930289609012e-12	8.318480177780392e-12
150.0	4.965790318084381e-12	6.4659665536069164e-12	7.969319463111188e-12
151.0	4.223670511319321e-12	6.6465454988060565e-12	7.522742402243427e-12
152.0	4.344431374834754e-12	6.331555693124629e-12	6.185590028065441e-12
153.0	4.65457944086349e-12	5.198289795222283e-12	5.6519335965532945e-12
154.0	3.253297198134654e-12	4.7359409244647025e-12	5.417386330774925e-12
155.0	2.3790501433832172e-12	3.4889386977063783e-12	4.136022794788633e-12
156.0	2.140464429177176e-12	2.958644415659265e-12	3.986150060534774e-12
157.0	1.8083805001537604e-12	2.6076317900542187e-12	3.5075146460056116e-12
158.0	1.4271841880273658e-12	2.617878893007221e-12	3.137190268475262e-12
159.0	1.2566153272802929e-12	2.2809822491057607e-12	3.1324902517231697e-12
160.0	7.46490554728569e-13	1.380149204536588e-12	2.6233604839528505e-12
161.0	5.16170721792145e-13	1.4165702093168454e-12	2.329300432417543e-12
